"species","common_name","sci_name","phylo_name","nbrood","avgbrood","avgsire","pmult","Bmass","logBm"
"White-tailed deer, Odocoileus virginianus","White-tailed deer","Odocoileus virginianus","Odocoileus_virginianus",27,2.1,1.3,0.259,75901.25,4.88
"White-tailed deer, Odocoileus virginianus","White-tailed deer","Odocoileus virginianus","Odocoileus_virginianus",27,2.1,1.3,0.259,75901.25,4.88
"Mouflon, Ovis aries","Mouflon","Ovis aries","Ovis_aries",80,2,1.7,0.738,39097.89,4.592
"Canyon mouse, Peromyscus crinitus","Canyon mouse","Peromyscus crinitus","Peromyscus_crinitus",10,3.8,1.2,0.2,17,1.23
"Guadeloupe racoon, Procyon lotor","Guadeloupe racoon","Procyon lotor","Procyon_lotor",8,4,1.9,0.875,6373.72,3.804
"Yellow ground squirrel, Spermophilus fulvus","Yellow ground squirrel","Spermophilus fulvus","Spermophilus_fulvus",18,4.9,1.8,0.556,NA,NA
"Wild boar, Sus scrofa","Wild boar","Sus scrofa","Sus_scrofa",30,4.5,1.1,0.1,169000,5.228
"Eastern chipmunk, Tamias striatus","Eastern chipmunk","Tamias striatus","Tamias_striatus",43,2.8,2.5,0.86,93.4,1.97
"Red squirrel, Tamiasciurus hudsonicus","Red squirrel","Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",44,3,2,0.727,200.24,2.302
"Honey possum, Tarsipes rostratus","Honey possum","Tarsipes rostratus","Tarsipes_rostratus",5,2.4,2,1,9.66,0.985
"Large treeshrew, Tupaia tana","Large treeshrew","Tupaia tana","Tupaia_tana",9,2,1.3,0.333,182.33,2.261
"Columbian ground squirrel, Urocitellus columbianus","Columbian ground squirrel","Urocitellus columbianus","Urocitellus_columbianus",29,2.8,1.9,0.724,576,2.76
"Columbian ground squirrel, Urocitellus columbianus","Columbian ground squirrel","Urocitellus columbianus","Urocitellus_columbianus",147,3,1.8,0.578,576,2.76
"Richardson's ground squirrel, Urocitellus richardsonii","Richardson's ground squirrel","Urocitellus richardsonii","Urocitellus_richardsonii",15,5.7,2.1,0.8,360,2.556
"Gray fox, Urocyon cinereoargenteus","Gray fox","Urocyon cinereoargenteus","Urocyon_cinereoargenteus",7,3.3,1.1,0.143,3833.71,3.584
"American black bear, Ursus americanus","American black bear","Ursus americanus","Ursus_americanus",5,2.4,1.2,0.2,110500,5.043
"Brown bear, Ursus arctos","Brown bear","Ursus arctos","Ursus_arctos",69,2,1.1,0.145,196287.5,5.293
"Arctic fox, Vulpes lagopus","Arctic fox","Vulpes lagopus","Vulpes_lagopus",8,5.4,1.1,0.125,3584.37,3.554
"Red fox, Vulpes vulpes","Red fox","Vulpes vulpes","Vulpes_vulpes",12,3.8,1.8,0.5,4820.36,3.683
"Round-tailed ground squirrel, Xerospermophilus tereticaudus","Round-tailed ground squirrel","Xerospermophilus tereticaudus","Xerospermophilus_tereticaudus",31,4.1,2.5,0.548,163.3,2.213
