species,nbrood,avgbrood,minbrood,maxbrood,pmult,avgsire,minsire,maxsire,DNA,SocMon,Reference
"Adelie penguin, Pygoscelis adeliae",18,1.222222222,NA,NA,0.111111111,1.111111111,1,2,fingerprint,NA,Pilastro et al. (2001)
"Chinstrap penguin, Pygoscelis antarcticus",38,2,NA,NA,0,1,1,1,fingerprint,NA,Moreno et al. (2000)
"Canary, Serinus canaria",15,3,NA,NA,0,1,1,1,fingerprint,NA,Voigt et al 2003
"Serin, Serinus serinus",21,2.904761905,NA,NA,0,1,1,1,fingerprint,NA,Mota & Hoi-Leitner 2003
"Eastern bluebird, Sialia sialis",21,3.952380952,NA,NA,0.238095238,1.238095238,1,2,fingerprint,NA,Meek et al. (1994)
"Humboldt penguin, Spheniscus humboldti",21,2.333333333,NA,NA,0,1,1,1,fingerprint,NA,Schwartz et al. (1999)
"Wilson's phalarope, Steganopus tricolor",15,2.866666667,NA,NA,0,1,1,1,fingerprint,NA,Delehanty et al. (1998)
"Common tern, Sterna hirundo",10,2.9,NA,NA,0,1,1,1,fingerprint,NA,Griggio et al 2004
"Common tern, Sterna hirundo",34,3,NA,NA,0.029411765,1.029411765,1,2,fingerprint,NA,Gonzalez-Solis et al 2001
"Common starling, Sturnus vulgaris",14,4.428571429,NA,NA,0.285714286,1.5,1,3,fingerprint,NA,Pinxten et al 1993
"Common starling, Sturnus vulgaris",22,4.181818182,NA,NA,0.318181818,1.318181818,1,2,fingerprint,NA,Smith & von Schantz (1993)
"Nazca booby, Sula granti",21,1.523809524,1,2,0,1,1,1,fingerprint,NA,Anderson & Boag (2006)
"Zebra finch, Taeniopygia guttata",25,3.28,NA,NA,0.08,1.08,1,2,fingerprint,NA,Birkhead et al. (1990)
"Black grouse, Tetrao tetrix",11,6,NA,NA,0,1,1,1,fingerprint,NA,Alatalo et al. (1996b)
"Carolina wren, Thryothorus ludovicianus",23,3.652173913,NA,NA,0,1,1,1,fingerprint,NA,Haggerty et al. (2001)
"Monteiros hornbill, Tockus monteiri",38,3.552631579,NA,NA,0,1,1,1,fingerprint,NA,Stanback et al 2002
"House wren, Troglodytes aedon",146,5.410958904,NA,NA,0.267123288,1.280821918,1,3,fingerprint,NA,Soukup & Thompson (1997)
"Arabian babbler, Turdoides squamiceps",44,4.227272727,NA,NA,0.090909091,1.090909091,1,2,fingerprint,NA,Lundy et al. (1998)
"Southern lapwing, Vanellus chilensis",16,2.5625,NA,NA,0.1875,1.1875,1,2,fingerprint,NA,Saracura et al 2008
"Blue-headed vireo, Vireo solitarius",16,2.3125,NA,NA,0.0625,1.0625,1,2,fingerprint,NA,Morton et al. (1998)
"Capricorn silvereye, Zosterops lateralis",53,2.301886792,NA,NA,0,1,1,1,fingerprint,NA,Robertson et al. (2001)
